Time (BJDTDB), RV (km/s), RVerr (km/s)
2460008.6169308,-21.3831,0.0092
2460008.6323849,-21.3850,0.0079
2460008.6477804,-21.3462,0.0085
2460008.6643094,-21.3459,0.0100
2460008.6796103,-21.3472,0.0113
2460008.6962913,-21.3306,0.0139
2460008.7127604,-21.3522,0.0121
2460008.7288505,-21.3632,0.0103
2460008.7442625,-21.3689,0.0090
2460008.7605854,-21.3700,0.0086
2460008.7762139,-21.3824,0.0082
2460008.7910540,-21.3857,0.0083
2460008.8078063,-21.3760,0.0100
2460008.8239326,-21.3780,0.0096
2460008.8394173,-21.3700,0.0098
2460008.8563047,-21.3695,0.0096
2460008.8924447,-21.3249,0.0164
